sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:ï»¿field,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
pN,1a,962,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919353,pN1a,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,10.4,1,,,0.73,FLAGGED,EQUAL,TIM,1.72E+12,36308526,0.4,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pT,0a,101,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919508,pT0,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,45,203,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815226,45,Observation,MAPS_TO,,<auto>,1.72E+12,
pN,0a,2,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919164,pN0a,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,1b2,9,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919039,cT1b2,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,12:00 AM,2,,,0.54,FLAGGED,EQUAL,TIM,1.72E+12,44792857,"Timed collection: specimen collection, 12:00 hours",Observation,MAPS_TO,,<auto>,1.72E+12,
pT,2a1,1,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919162,pT2a1,Meas Value,MAPS_TO,,TIM,1.72E+12,
PR,Borderline,13,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919285,Borderline,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,1b,2419,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919186,pT1b,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,800,1,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45882144,800,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cT,3,7342,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919139,cT3,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,140,5,,,0.54,FLAGGED,EQUAL,TIM,1.72E+12,1620522,140 minutes,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cT,2,7401,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919656,cT2,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,0b,2,,,0.53,APPROVED,EQUAL,TIM,1.72E+12,35919314,cT0,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,X,1176,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919629,cTX,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,1.5,2,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45882548,1.5,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pN,0,29687,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919637,pN0,Meas Value,MAPS_TO,,TIM,1.72E+12,
HER2 FISH,1,2,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
Max Tumour Diameter,120,9,,,1,FLAGGED,EQUAL,TIM,1.72E+12,1620373,120,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,150,3,,,0.51,FLAGGED,EQUAL,TIM,1.72E+12,43859590,Iron 150 MG,Drug,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,0.5,1,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45879805,0.5,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cT,1:00 AM,2,,,0.55,FLAGGED,EQUAL,TIM,1.72E+12,4131345,01:03,Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,4.8,1,,,0.54,FLAGGED,EQUAL,TIM,1.72E+12,922301,pectin 4.8 MG/ML,Drug,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,16,31,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45879164,16,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pN,0b,2,,,0.53,APPROVED,EQUAL,TIM,1.72E+12,35919895,pN0b,Meas Value,MAPS_TO,,TIM,1.72E+12,
PR,Positive,940,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919362,PR positive,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,4b,880,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919628,pT4b,Meas Value,MAPS_TO,,TIM,1.72E+12,
PR,Negative,380,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919700,PR negative,Meas Value,MAPS_TO,,TIM,1.72E+12,
pN,3c,26,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919877,pN3c,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,83,1,,,0.26,FLAGGED,EQUAL,TIM,1.72E+12,35946557,CD83 (CD83 molecule) gene variant measurement,Measurement,MAPS_TO,,<auto>,1.72E+12,
pT,1b2,10,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919348,pT1b2,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,12:00 AM,63,,,0.54,FLAGGED,EQUAL,TIM,1.72E+12,44792857,"Timed collection: specimen collection, 12:00 hours",Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,69,1,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815295,69,Observation,MAPS_TO,,<auto>,1.72E+12,
pM,1b,947,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919922,pM1b,Meas Value,MAPS_TO,,TIM,1.72E+12,
cN,2 b,1,,,0.46,APPROVED,EQUAL,TIM,1.72E+12,35919474,cN2b,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,4.5,3,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45882549,4.5,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cT,4c,7,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919667,cT4c,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,3b,1562,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919771,cT3b,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,1a,2491,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919756,pT1a,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,57,5,,,0.49,FLAGGED,EQUAL,TIM,1.72E+12,45880601,575,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,180,1,,,0.57,FLAGGED,EQUAL,TIM,1.72E+12,45878603,L180,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pN,mi,2,,,1,FLAGGED,EQUAL,TIM,1.72E+12,46237512,MI,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,56,3,,,0.35,FLAGGED,EQUAL,TIM,1.72E+12,4130858,5621,Meas Value,MAPS_TO,,<auto>,1.72E+12,
ER,Borderline,9,,,1,APPROVED,EQUAL,TIM,1.72E+12,4172976,Equivocal,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,4a,826,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919576,cT4a,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,65,59,,,0.55,FLAGGED,EQUAL,TIM,1.72E+12,45879760,650,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cT,2a,1255,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919565,cT2a,Meas Value,MAPS_TO,,TIM,1.72E+12,
pM,1,2413,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919762,pM1,Meas Value,MAPS_TO,,TIM,1.72E+12,
cM,1,5211,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919824,cM1,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,36,12,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37159537,III:6,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,53,8,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815266,53,Observation,MAPS_TO,,<auto>,1.72E+12,
pT,4:00 AM,3,,,0.5,FLAGGED,WIDER,TIM,1.72E+12,44792861,"Timed collection: specimen collection, 24:00 hours",Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,112,1,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37163961,I:12,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,58,3,,,0.37,FLAGGED,EQUAL,TIM,1.72E+12,4079000,1958,Meas Value,MAPS_TO,,<auto>,1.72E+12,
ER,Positive,1138,,,1,APPROVED,EQUAL,TIM,1.72E+12,9191,Positive,Meas Value,MAPS_TO,,TIM,1.72E+12,
BCL2,Negative,1,,,1,FLAGGED,WIDER,TIM,1.72E+12,9189,Negative,Meas Value,MAPS_TO,,TIM,1.72E+12,
cM,1b,1839,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919263,cM1b,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,2c,803,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919904,pT2c,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,19,18,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37163958,I:9,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,2,14,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
cN,3b,37,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919453,cN3b,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,0a,23,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919314,cT0,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,is,878,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919370,pTis,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,63,2,,,0.4,FLAGGED,EQUAL,TIM,1.72E+12,4130436,CT 63,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pN,1b,221,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919928,pN1b,Meas Value,MAPS_TO,,TIM,1.72E+12,
cM,0b,2,,,0.53,APPROVED,EQUAL,TIM,1.72E+12,35919673,cM0,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,8.5,1,,,1,FLAGGED,EQUAL,TIM,1.72E+12,36309123,8.5,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cT,2d,1,,,0.53,APPROVED,EQUAL,TIM,1.72E+12,35919346,cT2d,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,0,8,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
pN,0mi,2,,,0.4,FLAGGED,EQUAL,TIM,1.72E+12,40217345,"Chronic care management services, each additional 20 minutes of clinical staff time directed by a physician or other qualified health care professional, per calendar month (list separately in addition to code for primary procedure). (do no... (Deprecated)",Observation,MAPS_TO,,<auto>,1.72E+12,
pT,2a,1421,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919867,pT2a,Meas Value,MAPS_TO,,TIM,1.72E+12,
pN,3b,75,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919312,pN3b,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,1 b,3,,,0.28,APPROVED,EQUAL,TIM,1.72E+12,35919186,pT1b,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,190,1,,,0.54,FLAGGED,EQUAL,TIM,1.72E+12,19110053,glycine 190 MG,Drug,MAPS_TO,,<auto>,1.72E+12,
cT,2b1,2,,,0.73,APPROVED,EQUAL,TIM,1.72E+12,35919228,cT2b,Meas Value,MAPS_TO,,TIM,1.72E+12,
PR,Not Performed,3,,,1,FLAGGED,EQUAL,TIM,1.72E+12,4118638,Not performed,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,70,106,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815309,70,Observation,MAPS_TO,,<auto>,1.72E+12,
pM,0b,6,,,0.53,APPROVED,EQUAL,TIM,1.72E+12,35919673,cM0,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,86,1,,,0.28,FLAGGED,EQUAL,TIM,1.72E+12,35961612,LY86 (lymphocyte antigen 86) gene variant measurement,Measurement,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,84,3,,,0.4,FLAGGED,EQUAL,TIM,1.72E+12,4118498,M 84,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,22,75,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37163971,II:2,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,51,6,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815259,51,Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,12.5,1,,,0.75,FLAGGED,EQUAL,TIM,1.72E+12,45876764,2.5,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pT,4a,938,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919265,pT4a,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,29,20,,,1,FLAGGED,EQUAL,TIM,1.72E+12,36309293,29,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cT,4d,8,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919544,cT4d,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,a,384,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919573,pTa,Meas Value,MAPS_TO,,TIM,1.72E+12,
cN,3a,18,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919461,cN3a,Meas Value,MAPS_TO,,TIM,1.72E+12,
cM,2,1,,,0,FLAGGED,EQUAL,TIM,1.72E+12,4106768,Stage 2,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,1a,1118,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919897,cT1a,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,8,31,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
cT,Xc,3,,,0.42,APPROVED,EQUAL,TIM,1.72E+12,35919629,cTX,Meas Value,MAPS_TO,,TIM,1.72E+12,
cN,2,4664,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919167,cN2,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,210,1,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37163979,II:10,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pT,0c,4,,,0.43,APPROVED,EQUAL,TIM,1.72E+12,35919508,pT0,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,b,6,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
Max Tumour Diameter,115,3,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37163964,I:15,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,30,372,,,1,FLAGGED,EQUAL,TIM,1.72E+12,1620605,30,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,7,27,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
PS2,Negative,2,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919700,PR negative,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,c,16,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
Max Tumour Diameter,4,18,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
Max Tumour Diameter,100,21,,,1,FLAGGED,EQUAL,TIM,1.72E+12,36303220,100,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cM,X ,1108,,,0.16,FLAGGED,EQUAL,TIM,1.72E+12,4132135,Absent,Meas Value,MAPS_TO,,TIM,1.72E+12,
pM,1c,442,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919359,pM1c,Meas Value,MAPS_TO,,TIM,1.72E+12,
cM,c,1,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
pN,2b,549,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919152,pN2b,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,26,20,,,1,FLAGGED,EQUAL,TIM,1.72E+12,36310739,26,Meas Value,MAPS_TO,,<auto>,1.72E+12,
HER2,3,133,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
cT,2c,863,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919872,cT2c,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,13,33,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45882913,13,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,62,7,,,0.37,FLAGGED,EQUAL,TIM,1.72E+12,36309943,162 mg,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,80,58,,,0.57,FLAGGED,EQUAL,TIM,1.72E+12,45882144,800,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cN,1a,204,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919930,cN1a,Meas Value,MAPS_TO,,TIM,1.72E+12,
cN,1b,126,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919718,cN1b,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,0,600,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919508,pT0,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,2,9627,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919074,pT2,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,0b,2,,,0.53,APPROVED,EQUAL,TIM,1.72E+12,35919508,pT0,Meas Value,MAPS_TO,,TIM,1.72E+12,
pM,a,2,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
Max Tumour Diameter,11,12,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45881814,11,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,18,66,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37163957,I:8,Meas Value,MAPS_TO,,<auto>,1.72E+12,
HER2 FISH,3,16,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
Max Tumour Diameter,25,300,,,1,FLAGGED,EQUAL,TIM,1.72E+12,36308034,25,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pT,3c1,1,,,1,APPROVED,WIDER,TIM,1.72E+12,4131354,3c,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,46,3,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815231,46,Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,1.2,1,,,1,FLAGGED,EQUAL,TIM,1.72E+12,21498528,1.2,Meas Value,MAPS_TO,,<auto>,1.72E+12,
HER2 FISH,0,66,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
pT,Xb,1,,,0.61,APPROVED,WIDER,TIM,1.72E+12,4132135,Absent,Meas Value,MAPS_TO,,TIM,1.72E+12,
cN,0b,1,,,0.53,APPROVED,EQUAL,TIM,1.72E+12,35919712,cN0b,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,0,417,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919314,cT0,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,48,18,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815236,48,Observation,MAPS_TO,,<auto>,1.72E+12,
pT,1a2,7,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919377,pT1a2,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,41,17,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37164013,IV:1,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pN,c,1,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
Max Tumour Diameter,54,6,,,0.27,FLAGGED,EQUAL,TIM,1.72E+12,35957517,USP54 (ubiquitin specific peptidase 54) gene variant measurement,Measurement,MAPS_TO,,<auto>,1.72E+12,
cT,1mi,4,,,0.68,APPROVED,EQUAL,TIM,1.72E+12,35919061,cT1mi,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,1.3,1,,,0.72,FLAGGED,EQUAL,TIM,1.72E+12,21499144,1.35,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pN,2 b,10,,,0.46,APPROVED,EQUAL,TIM,1.72E+12,35919152,pN2b,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,78,2,,,0.37,FLAGGED,EQUAL,TIM,1.72E+12,4082150,1978,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,10,108,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45878306,10,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,82,1,,,0.37,FLAGGED,EQUAL,TIM,1.72E+12,4172541,1982,Meas Value,MAPS_TO,,<auto>,1.72E+12,
ER,Negative,220,,,1,APPROVED,EQUAL,TIM,1.72E+12,9189,Negative,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,39,11,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37159541,III:9,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pT,2b,590,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919739,pT2b,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,2a2,2,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919424,cT2a2,Meas Value,MAPS_TO,,TIM,1.72E+12,
pN,3,1226,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919336,pN3,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,b,14,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
Max Tumour Diameter,3.5,1,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45884474,3.5,Meas Value,MAPS_TO,,<auto>,1.72E+12,
HER2,2,161,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
cN,1c,68,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919690,cN1c,Meas Value,MAPS_TO,,TIM,1.72E+12,
pN,1c,89,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919053,pN1c,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,15,168,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45879165,15,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,61,5,,,0.29,FLAGGED,EQUAL,TIM,1.72E+12,4131341,1161 U,Meas Value,MAPS_TO,,<auto>,1.72E+12,
HER2 FISH,2,3,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
pT,4,2808,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919919,pT4,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,3,5681,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919081,pT3,Meas Value,MAPS_TO,,TIM,1.72E+12,
